Model,Years_Working,Production_Year,Range_km,Engine_Type,Fuel_Consumption,Capacity,Hourly_Maintenance_Cost,Region,Price_USD
Airbus A380,15,2009,14886,Turbofan,11.34,858,4672.0,Africa,197157780.51
Boeing 737,27,1997,6700,Turbofan,2.62,211,2839.61,North America,28133017.88
Airbus A350-1000,8,2016,16052,Turbofan,5.47,402,3587.57,Middle East,227162244.41
Airbus A350-1000,3,2021,16049,Turbofan,4.98,406,570.7,Asia,348167025.11
Airbus A380,14,2010,14827,Turbofan,11.68,845,1105.36,North America,182233781.72
Boeing 737,10,2014,6121,Turbofan,2.73,220,3238.18,Africa,68983669.31
Cessna 172,16,2008,1491,Piston,0.04,4,2438.57,Middle East,170695.26
Boeing 777,9,2015,15819,Turbofan,7.04,386,4279.4,Oceania,182953678.75
Boeing 747,23,2001,13450,Turbofan,9.19,656,3625.74,North America,142557869.75
Airbus A380,5,2019,15489,Turbofan,11.28,847,2068.62,Asia,366591420.87
Boeing 747,1,2023,14057,Turbofan,10.66,654,3215.43,Europe,419334900.81
Airbus A380,11,2013,15253,Turbofan,13.19,850,1455.27,Oceania,202595299.44
Cessna 172,10,2014,1099,Piston,0.04,4,2073.78,South America,255176.0
Airbus A380,16,2008,15418,Turbofan,12.35,844,1404.5,Africa,165747748.44
Boeing 737,13,2011,6918,Turbofan,2.96,204,4643.47,Africa,57838511.46
Cessna 172,19,2005,1226,Piston,0.04,4,1577.51,Africa,142871.0
Boeing 737,11,2013,6965,Turbofan,2.64,213,4894.55,Asia,64750886.71
Airbus A380,17,2007,15325,Turbofan,12.6,847,2844.58,Europe,165980731.33
Cessna 172,30,1994,834,Piston,0.04,4,3035.94,Oceania,100000.0
Boeing 747,11,2013,13677,Turbofan,9.32,662,3131.36,South America,267791527.95
Airbus A350-1000,5,2019,15623,Turbofan,4.75,407,4264.5,South America,331587573.77
Boeing 777,13,2011,15961,Turbofan,7.45,394,2741.43,South America,211961849.62
Boeing 747,29,1995,14249,Turbofan,9.29,652,2173.5,North America,101601022.29
Airbus A380,9,2015,15404,Turbofan,12.83,842,2710.56,Africa,285242170.22
Boeing 747,3,2021,14221,Turbofan,10.5,652,1490.12,Asia,295687061.26
Boeing 747,31,1993,13444,Turbofan,9.65,655,2152.15,Asia,88505310.44
Boeing 777,17,2007,15549,Turbofan,6.74,392,3213.01,Europe,126395329.8
Cessna 172,12,2012,852,Piston,0.04,4,539.44,South America,213107.98
Cessna 172,12,2012,1116,Piston,0.04,4,3512.58,Africa,187162.89
Boeing 737,27,1997,6911,Turbofan,2.84,215,4906.04,Asia,29259251.95
Boeing 747,15,2009,13629,Turbofan,9.29,664,3384.2,Africa,193444685.99
Boeing 747,13,2011,13419,Turbofan,10.24,666,4456.62,Middle East,244118230.29
Boeing 777,8,2016,15956,Turbofan,6.86,392,1791.25,Middle East,192937413.29
Boeing 737,22,2002,7006,Turbofan,2.78,202,3901.59,Africa,26371056.92
Airbus A320,32,1992,6670,Turbofan,2.73,171,3279.01,Africa,17019486.3
Boeing 777,13,2011,15964,Turbofan,6.93,386,3860.74,Oceania,156840296.86
Cessna 172,5,2019,1376,Piston,0.04,4,2806.87,South America,291423.82
Boeing 747,6,2018,14251,Turbofan,10.59,662,3814.78,Europe,264797943.28
Airbus A350-1000,0,2024,15866,Turbofan,5.55,405,3303.24,South America,357040743.36
Airbus A320,32,1992,6647,Turbofan,2.62,173,1721.54,Oceania,22573195.23
Cessna 172,24,2000,1164,Piston,0.04,4,3671.23,North America,100000.0
Boeing 747,28,1996,14089,Turbofan,10.74,657,2889.74,Asia,116059828.86
Boeing 747,9,2015,13869,Turbofan,9.99,651,3146.13,Middle East,227541499.84
Airbus A380,13,2011,15568,Turbofan,12.15,843,939.18,Asia,255985149.11
Boeing 747,29,1995,13667,Turbofan,10.98,665,3019.31,Oceania,84010721.16
Airbus A350-1000,2,2022,16363,Turbofan,5.2,405,3617.75,Europe,303492686.46
Airbus A380,5,2019,14950,Turbofan,12.77,859,1869.86,North America,299132585.08
Cessna 172,32,1992,1095,Piston,0.04,4,3965.37,Africa,100000.0
Airbus A350-1000,2,2022,15623,Turbofan,4.84,405,770.38,Europe,295916003.07
Airbus A320,10,2014,6793,Turbofan,2.43,179,1521.72,Africa,52516812.48
Airbus A320,28,1996,6315,Turbofan,2.27,188,4964.43,Oceania,25213136.03
Boeing 747,23,2001,14015,Turbofan,10.31,652,956.08,North America,102861304.68
Boeing 747,17,2007,13473,Turbofan,9.08,669,533.32,North America,164479247.5
Boeing 777,14,2010,15413,Turbofan,7.37,392,1957.41,South America,151841438.7
Airbus A380,17,2007,14804,Turbofan,11.38,848,2713.67,Middle East,192819113.26
Airbus A350-1000,8,2016,16216,Turbofan,5.23,404,3649.57,South America,229322110.74
Airbus A350-1000,8,2016,16203,Turbofan,4.88,413,4215.22,Middle East,253430586.29
Boeing 747,14,2010,13669,Turbofan,10.45,662,1472.21,North America,240344779.25
Airbus A380,4,2020,15129,Turbofan,12.59,855,4943.73,Africa,345578341.42
Airbus A380,10,2014,15188,Turbofan,10.83,854,793.93,Africa,316977617.17
Cessna 172,14,2010,1716,Piston,0.04,4,1731.24,Africa,164116.18
Airbus A350-1000,8,2016,15768,Turbofan,4.82,416,1000.46,Oceania,218044628.48
Boeing 747,5,2019,13791,Turbofan,10.76,659,1901.96,Asia,297244337.83
Airbus A320,0,2024,5933,Turbofan,2.39,170,4902.87,Middle East,100941477.15
Boeing 777,5,2019,15429,Turbofan,6.36,391,1957.11,Africa,292180747.79
Boeing 747,16,2008,13508,Turbofan,9.68,654,4276.66,South America,188962348.79
Boeing 777,19,2005,15777,Turbofan,6.81,403,802.8,South America,112020706.49
Boeing 737,12,2012,6075,Turbofan,2.48,216,2336.88,Oceania,53279565.32
Airbus A350-1000,5,2019,15982,Turbofan,5.23,402,2897.11,South America,317259446.79
Airbus A380,3,2021,15428,Turbofan,10.94,849,2776.43,Middle East,435528230.83
Airbus A350-1000,5,2019,16516,Turbofan,4.74,404,1118.49,South America,330925629.63
Boeing 737,11,2013,6987,Turbofan,2.82,209,1918.19,Asia,66593575.74
Airbus A320,4,2020,6186,Turbofan,2.37,183,566.03,South America,95034404.65
Boeing 747,30,1994,13940,Turbofan,10.81,668,3774.77,Africa,106775992.03
Boeing 747,6,2018,13580,Turbofan,10.76,654,2653.17,Africa,308575901.06
Boeing 777,16,2008,15762,Turbofan,6.2,386,4803.48,Europe,141637913.45
Boeing 747,1,2023,13724,Turbofan,9.9,663,4104.67,Oceania,319099940.66
Airbus A320,12,2012,5879,Turbofan,2.37,173,2236.89,Africa,49423323.18
Airbus A320,15,2009,6309,Turbofan,2.72,186,619.79,Middle East,37896910.06
Airbus A380,3,2021,15244,Turbofan,12.95,843,4205.11,Europe,414323238.93
Airbus A350-1000,6,2018,16396,Turbofan,5.4,404,4488.11,Africa,247825789.18
Cessna 172,34,1990,1596,Piston,0.04,4,2874.61,Middle East,100000.0
Airbus A380,19,2005,15339,Turbofan,10.93,851,1423.28,North America,163779344.67
Cessna 172,0,2024,1234,Piston,0.04,4,768.73,Africa,378579.47
Airbus A380,9,2015,15058,Turbofan,12.92,848,1831.53,Africa,297423760.64
Boeing 777,27,1997,15481,Turbofan,7.08,388,2349.64,Europe,74887279.61
Boeing 747,13,2011,13959,Turbofan,10.59,661,1826.58,South America,224676314.7
Airbus A380,9,2015,15561,Turbofan,10.8,846,4747.19,Europe,279397032.84
Airbus A380,12,2012,15053,Turbofan,12.04,840,4102.62,North America,222253529.09
Cessna 172,26,1998,891,Piston,0.04,4,1296.97,Middle East,100000.0
Boeing 737,12,2012,6983,Turbofan,2.81,204,2566.62,Asia,55180228.93
Boeing 737,16,2008,6076,Turbofan,2.61,214,4318.81,South America,41862456.35
Cessna 172,16,2008,1557,Piston,0.04,4,1979.05,South America,188490.94
Cessna 172,0,2024,1393,Piston,0.04,4,2173.31,Africa,380397.35
Airbus A350-1000,3,2021,16199,Turbofan,5.36,409,4570.94,Europe,325382436.88
Airbus A380,17,2007,15134,Turbofan,12.68,851,3029.74,North America,178279299.32
Airbus A380,0,2024,15315,Turbofan,11.4,846,2516.89,North America,501889604.99
Boeing 737,31,1993,6574,Turbofan,2.56,212,3985.91,Middle East,19156280.32
Boeing 747,28,1996,14288,Turbofan,9.37,668,1152.87,Europe,105800689.6
Airbus A380,2,2022,15444,Turbofan,12.41,840,3746.83,Asia,460919988.44
Boeing 777,30,1994,15982,Turbofan,6.66,397,4294.72,Oceania,70458895.94
Airbus A380,1,2023,14997,Turbofan,11.51,847,4106.26,Middle East,454488929.34
Boeing 737,18,2006,6839,Turbofan,2.67,213,3197.04,North America,32604598.47
Cessna 172,17,2007,1743,Piston,0.04,4,4453.33,Middle East,153210.04
Boeing 777,13,2011,15957,Turbofan,6.87,401,2681.42,Asia,175498284.34
Airbus A350-1000,4,2020,16405,Turbofan,4.87,416,2339.91,North America,317474787.32
Cessna 172,19,2005,1061,Piston,0.04,4,2626.7,South America,163872.94
Boeing 737,15,2009,6503,Turbofan,2.96,209,2375.04,South America,44017387.4
Boeing 777,30,1994,15510,Turbofan,7.18,394,2273.18,South America,87986752.67
Airbus A380,14,2010,15647,Turbofan,12.35,849,1882.54,North America,194390114.88
Cessna 172,1,2023,1305,Piston,0.04,4,697.09,Asia,434282.4
Cessna 172,24,2000,1441,Piston,0.04,4,3353.32,Europe,124005.76
Boeing 737,4,2020,7017,Turbofan,2.8,200,3256.46,North America,70264004.31
Airbus A380,13,2011,15121,Turbofan,10.92,846,3699.88,North America,198645772.68
Boeing 737,26,1998,6290,Turbofan,2.93,211,4866.41,North America,30019938.87
Airbus A320,4,2020,6432,Turbofan,2.57,187,4291.24,Middle East,79248683.37
Cessna 172,14,2010,1339,Piston,0.04,4,2566.23,South America,216732.84
Boeing 777,7,2017,15314,Turbofan,7.17,406,1347.9,North America,217403602.32
Boeing 777,5,2019,16148,Turbofan,6.18,390,3532.51,South America,312999062.18
Cessna 172,2,2022,1465,Piston,0.04,4,3449.63,Europe,363120.23
Boeing 777,29,1995,16132,Turbofan,7.36,397,3501.43,Middle East,86820509.83
Cessna 172,29,1995,801,Piston,0.04,4,1344.36,Asia,100000.0
Airbus A320,10,2014,5993,Turbofan,2.43,173,3777.57,Europe,54661108.9
Boeing 737,23,2001,6655,Turbofan,2.62,205,1429.16,Oceania,35583037.98
Boeing 737,11,2013,7067,Turbofan,2.77,220,1389.66,Europe,48184632.87
Boeing 777,16,2008,15815,Turbofan,6.38,404,4284.44,Europe,133744564.57
Boeing 737,11,2013,6286,Turbofan,2.53,205,1962.7,Middle East,53236090.97
Boeing 737,20,2004,6240,Turbofan,2.64,204,715.35,Middle East,36196003.18
Airbus A350-1000,4,2020,16594,Turbofan,5.62,417,2886.35,Oceania,298979634.26
Boeing 777,20,2004,16026,Turbofan,7.36,396,3912.52,Middle East,140940969.88
Cessna 172,3,2021,1363,Piston,0.04,4,2996.35,Africa,332200.86
Boeing 777,25,1999,15865,Turbofan,6.94,394,4988.47,Asia,101548998.28
Airbus A380,4,2020,14726,Turbofan,10.85,848,1795.29,Middle East,304513015.05
Boeing 777,6,2018,15454,Turbofan,6.24,401,500.17,North America,265436975.92
Airbus A350-1000,3,2021,16534,Turbofan,5.7,400,1959.4,Middle East,260587222.93
Boeing 737,1,2023,6718,Turbofan,2.93,218,2723.53,Asia,91905177.98
Airbus A320,4,2020,6744,Turbofan,2.58,176,1149.75,Oceania,79474896.76
Boeing 737,3,2021,6873,Turbofan,2.66,219,3268.9,Europe,93653351.1
Boeing 747,14,2010,13711,Turbofan,9.39,667,735.29,Middle East,166977178.05
Boeing 747,26,1998,13933,Turbofan,10.25,651,3045.8,Oceania,121680683.23
Cessna 172,4,2020,1393,Piston,0.04,4,2790.17,Oceania,381442.55
Airbus A380,15,2009,14727,Turbofan,12.62,859,3572.27,Africa,233348562.53
Airbus A320,1,2023,5822,Turbofan,2.35,179,2887.21,North America,96755803.33
Airbus A320,11,2013,5827,Turbofan,2.51,176,4849.57,North America,57966169.83
Cessna 172,23,2001,1627,Piston,0.04,4,1081.15,Oceania,108206.19
Boeing 737,31,1993,6239,Turbofan,2.91,213,2703.82,South America,18139188.87
Boeing 777,21,2003,15316,Turbofan,7.11,396,4445.32,Europe,129005318.5
Boeing 737,16,2008,6295,Turbofan,2.89,217,1112.46,Africa,39239328.4
Boeing 737,12,2012,7041,Turbofan,2.87,217,2916.11,North America,57242353.12
Airbus A350-1000,3,2021,15985,Turbofan,5.65,414,3786.45,South America,325270357.04
Boeing 747,2,2022,13757,Turbofan,9.59,664,2598.07,Europe,322481261.71
Boeing 747,31,1993,13708,Turbofan,10.68,665,4772.25,Middle East,79222892.32
Boeing 737,15,2009,7025,Turbofan,2.67,214,1257.53,Europe,43867988.54
Airbus A380,5,2019,15628,Turbofan,12.63,856,520.02,Middle East,407712838.47
Airbus A380,10,2014,14735,Turbofan,11.13,851,2173.7,North America,238062799.82
Boeing 747,14,2010,13958,Turbofan,9.5,659,3756.45,Oceania,167825155.77
Airbus A320,17,2007,6514,Turbofan,2.3,187,2421.87,Europe,48307054.84
Airbus A320,8,2016,6276,Turbofan,2.45,170,542.31,Africa,72694526.16
Airbus A350-1000,7,2017,15713,Turbofan,5.57,404,3979.11,Middle East,272658310.73
Airbus A350-1000,6,2018,16370,Turbofan,5.39,401,3063.04,Europe,259859504.78
Boeing 747,17,2007,13804,Turbofan,10.03,658,960.83,South America,195802342.61
Boeing 737,23,2001,6124,Turbofan,2.56,219,4764.56,North America,27926709.88
Boeing 777,20,2004,15367,Turbofan,7.24,391,3068.44,South America,139999783.55
Boeing 737,30,1994,6827,Turbofan,2.95,201,1955.16,South America,22984091.35
Airbus A380,6,2018,15521,Turbofan,11.9,858,4310.51,Africa,329701843.46
Boeing 777,21,2003,16007,Turbofan,7.39,398,2637.63,North America,126548375.33
Airbus A320,22,2002,5839,Turbofan,2.26,190,2060.13,Asia,26722111.94
Boeing 737,34,1990,7053,Turbofan,2.91,209,4602.95,North America,16755382.79
Airbus A320,15,2009,6286,Turbofan,2.44,178,643.51,Europe,55203781.32
Boeing 737,8,2016,6316,Turbofan,2.94,213,2566.5,Middle East,70206099.07
Airbus A350-1000,7,2017,15645,Turbofan,5.45,403,539.94,South America,233865951.58
Boeing 737,22,2002,6112,Turbofan,2.85,208,3305.56,North America,33961914.25
Boeing 737,33,1991,6864,Turbofan,2.7,208,1492.31,North America,15786231.29
Boeing 777,19,2005,15659,Turbofan,6.94,387,3773.71,South America,125655969.79
Airbus A350-1000,2,2022,16223,Turbofan,5.35,419,4215.4,Europe,311466083.06
Cessna 172,28,1996,1650,Piston,0.04,4,2198.87,Asia,100000.0
Airbus A350-1000,8,2016,16071,Turbofan,5.62,402,2660.13,South America,224166266.98
Airbus A380,10,2014,15689,Turbofan,11.77,848,807.7,South America,306431480.09
Boeing 737,4,2020,6498,Turbofan,2.54,219,2757.59,Oceania,78627410.58
Boeing 737,22,2002,6933,Turbofan,2.85,201,1244.81,Africa,29937025.74
Boeing 737,2,2022,7022,Turbofan,2.75,202,3994.4,Africa,96028471.78
Boeing 777,8,2016,15845,Turbofan,6.61,403,1863.44,Europe,200539119.94
Airbus A320,6,2018,6161,Turbofan,2.58,180,3497.3,Europe,59700456.78
Airbus A380,4,2020,15559,Turbofan,11.76,850,694.18,Europe,355125702.07
Airbus A380,2,2022,15570,Turbofan,10.93,859,3800.09,South America,471969953.85
Cessna 172,1,2023,1611,Piston,0.04,4,2425.4,North America,357835.08
Airbus A380,8,2016,15220,Turbofan,12.95,854,2081.94,South America,274234025.28
Boeing 777,29,1995,15506,Turbofan,6.53,398,3689.98,Africa,76967832.9
Airbus A320,18,2006,5943,Turbofan,2.26,178,1539.56,South America,36518151.39
Boeing 777,4,2020,15993,Turbofan,6.6,389,4344.84,Middle East,345529405.19
Airbus A380,3,2021,15278,Turbofan,11.85,850,4894.0,North America,314999817.0
Airbus A380,7,2017,14823,Turbofan,10.8,854,4098.39,Europe,361824297.37
Airbus A380,11,2013,14870,Turbofan,11.59,842,4678.87,Oceania,210001275.45
Airbus A380,9,2015,15430,Turbofan,11.35,841,1191.9,Asia,323690104.17
Boeing 747,11,2013,14273,Turbofan,9.56,657,3251.62,South America,231043831.1
Airbus A350-1000,4,2020,15864,Turbofan,5.07,414,4622.88,North America,267473661.06
Boeing 747,24,2000,14191,Turbofan,9.55,663,1134.06,North America,127589873.71
Boeing 737,26,1998,6820,Turbofan,2.8,213,3164.19,Oceania,27364677.99
Boeing 747,14,2010,13667,Turbofan,10.0,662,3182.59,Asia,166144059.92
Airbus A380,19,2005,14967,Turbofan,11.23,854,1213.89,Middle East,181050234.73
Airbus A380,18,2006,15193,Turbofan,11.3,840,3486.52,Asia,175768349.29
Airbus A350-1000,7,2017,15963,Turbofan,5.48,413,3984.4,Europe,280975324.41
Airbus A350-1000,6,2018,16015,Turbofan,4.69,404,3185.82,Africa,283947187.42
Cessna 172,25,1999,1702,Piston,0.04,4,3118.58,Middle East,100000.0
Airbus A380,15,2009,15408,Turbofan,11.52,857,4364.9,Asia,224275023.09
Boeing 737,16,2008,6138,Turbofan,2.57,202,2541.38,Oceania,38949354.08
Airbus A350-1000,1,2023,16074,Turbofan,5.41,417,963.63,Middle East,354428509.75
Airbus A350-1000,6,2018,16182,Turbofan,4.7,412,1789.8,North America,300030338.8
Boeing 747,13,2011,13704,Turbofan,9.41,668,3362.38,Europe,191889698.74
Boeing 737,6,2018,6814,Turbofan,2.73,214,4441.64,Africa,84459074.53
Airbus A320,24,2000,6211,Turbofan,2.68,175,1770.28,Oceania,33537852.13
Airbus A350-1000,4,2020,16471,Turbofan,5.51,413,3877.82,Africa,305508566.03
Cessna 172,15,2009,908,Piston,0.04,4,4917.54,Asia,168656.48
Airbus A350-1000,3,2021,16387,Turbofan,5.03,411,4094.94,Middle East,351959874.63
Cessna 172,10,2014,1609,Piston,0.04,4,3682.87,Europe,265059.35
Airbus A350-1000,8,2016,15676,Turbofan,5.12,412,2354.0,Europe,285769928.44
Boeing 777,25,1999,15793,Turbofan,6.38,402,3430.09,Africa,81324640.97
Boeing 737,22,2002,6078,Turbofan,2.97,211,2967.03,North America,33482862.88
Cessna 172,10,2014,1573,Piston,0.04,4,1932.53,Middle East,200496.85
Airbus A320,27,1997,6498,Turbofan,2.67,186,2823.9,South America,21818561.83
Boeing 747,7,2017,14196,Turbofan,9.73,662,1219.02,Oceania,265097895.28
Airbus A320,20,2004,5870,Turbofan,2.57,176,2152.19,Oceania,39015021.13
Boeing 737,4,2020,6417,Turbofan,2.49,207,3359.52,South America,95456376.88
Airbus A350-1000,7,2017,16466,Turbofan,5.12,420,2988.61,North America,231132171.31
Airbus A350-1000,3,2021,16600,Turbofan,5.61,417,708.18,North America,309783649.44
Cessna 172,12,2012,1092,Piston,0.04,4,4342.37,Asia,181522.82
Boeing 737,10,2014,7054,Turbofan,2.6,215,2309.47,Middle East,54594406.34
Airbus A350-1000,7,2017,16177,Turbofan,5.55,406,1695.17,Africa,222349452.5
Boeing 737,30,1994,6277,Turbofan,2.58,205,2869.67,Europe,19527284.4
Boeing 737,3,2021,6576,Turbofan,2.71,200,2923.27,Asia,87876057.93
Cessna 172,25,1999,1273,Piston,0.04,4,524.44,South America,102930.28
Airbus A350-1000,3,2021,16172,Turbofan,4.86,419,2182.39,Africa,353664419.38
Cessna 172,26,1998,1500,Piston,0.04,4,4195.39,Middle East,100000.0
Airbus A380,5,2019,15527,Turbofan,12.43,844,820.35,Asia,410752576.28
Boeing 777,12,2012,15746,Turbofan,7.4,388,2476.39,Oceania,224482584.72
Cessna 172,22,2002,1538,Piston,0.04,4,761.27,Asia,152772.88
Airbus A320,21,2003,6795,Turbofan,2.43,189,777.6,Africa,39172547.86
Boeing 747,16,2008,13655,Turbofan,9.84,670,4011.46,Europe,184748477.8
Boeing 737,6,2018,6742,Turbofan,2.94,209,2410.91,Africa,78847385.62
Boeing 747,29,1995,14240,Turbofan,9.75,653,2701.83,North America,91101415.9
Boeing 747,23,2001,13318,Turbofan,9.87,665,4356.84,North America,106208664.74
Airbus A350-1000,5,2019,16060,Turbofan,5.44,405,2658.85,North America,267765965.55
Boeing 777,5,2019,16015,Turbofan,7.04,406,4906.07,Asia,285641968.22
Airbus A320,21,2003,6475,Turbofan,2.33,177,4961.4,Africa,36850458.27
Boeing 747,16,2008,13549,Turbofan,10.65,668,2828.92,North America,205898841.9
Boeing 747,26,1998,14102,Turbofan,9.39,654,4341.13,South America,127263730.16
Airbus A350-1000,7,2017,16256,Turbofan,5.39,419,3653.28,South America,266694410.57
Airbus A380,14,2010,15358,Turbofan,12.08,851,1965.14,Europe,240497217.13
Boeing 737,15,2009,6483,Turbofan,2.82,216,951.71,Oceania,37192201.02
Boeing 777,30,1994,15615,Turbofan,6.4,394,861.43,Asia,74568272.09
Boeing 747,19,2005,13909,Turbofan,9.36,659,2003.45,Europe,137418647.27
Airbus A350-1000,4,2020,15958,Turbofan,5.45,420,4346.81,Middle East,354065642.52
Boeing 777,19,2005,16092,Turbofan,6.97,406,1348.14,Africa,140031499.96
Airbus A380,11,2013,15448,Turbofan,12.66,855,2524.5,Oceania,290996272.25
Boeing 737,10,2014,6425,Turbofan,2.76,206,3529.15,North America,53365258.03
Boeing 737,12,2012,6822,Turbofan,2.78,211,2151.9,Asia,59423782.24
Airbus A320,7,2017,6729,Turbofan,2.26,173,2431.38,Europe,57610948.83
Cessna 172,20,2004,1740,Piston,0.04,4,3654.36,North America,168434.11
Airbus A350-1000,4,2020,16356,Turbofan,4.93,402,2133.3,Asia,297751775.04
Boeing 737,5,2019,7024,Turbofan,2.8,212,892.85,Oceania,78175626.67
Boeing 777,9,2015,15436,Turbofan,7.26,404,2305.63,Middle East,181988912.42
Boeing 737,18,2006,6818,Turbofan,2.54,205,3872.48,Europe,42369875.86
Airbus A320,13,2011,5832,Turbofan,2.51,173,4856.99,North America,53871803.83
Cessna 172,27,1997,968,Piston,0.04,4,4790.22,Africa,100000.0
Boeing 747,6,2018,13718,Turbofan,9.29,655,4588.33,Oceania,350545761.83
Airbus A320,18,2006,6589,Turbofan,2.29,174,3513.02,Europe,37070317.65
Airbus A380,13,2011,15130,Turbofan,12.41,841,4241.67,Oceania,232533990.58
Boeing 777,15,2009,15383,Turbofan,7.04,395,4532.12,South America,166273600.59
Boeing 737,9,2015,6629,Turbofan,2.56,220,3086.85,Europe,59620208.35
Boeing 747,34,1990,13383,Turbofan,10.04,655,2325.33,Africa,65439940.08
Boeing 747,22,2002,13373,Turbofan,9.34,659,3320.44,Oceania,131203636.88
Airbus A320,11,2013,5825,Turbofan,2.45,184,4272.52,North America,48953382.57
Airbus A350-1000,5,2019,15984,Turbofan,5.59,407,754.96,Africa,314008203.01
Airbus A350-1000,8,2016,16573,Turbofan,5.67,415,3727.26,South America,209094175.38
Cessna 172,4,2020,990,Piston,0.04,4,3356.0,North America,360531.38
Airbus A350-1000,1,2023,15681,Turbofan,4.99,414,1667.14,Asia,371383845.48
Airbus A350-1000,6,2018,16142,Turbofan,5.19,402,4455.24,Middle East,247575985.45
Airbus A350-1000,1,2023,15610,Turbofan,5.53,415,2122.84,Asia,282353793.55
Airbus A320,27,1997,6135,Turbofan,2.32,178,3156.14,Europe,22455631.69
Cessna 172,0,2024,1679,Piston,0.04,4,2281.49,Middle East,389777.29
Boeing 777,19,2005,16125,Turbofan,7.4,393,1743.28,South America,154174481.9
Boeing 737,25,1999,6868,Turbofan,2.49,202,4219.96,Africa,27951588.63
Airbus A350-1000,7,2017,15633,Turbofan,5.03,408,2433.87,Middle East,299037536.27
Boeing 747,0,2024,13312,Turbofan,10.17,659,2285.63,Asia,489943810.53
Boeing 777,3,2021,15868,Turbofan,6.44,394,671.47,South America,276815689.76
Boeing 777,2,2022,15829,Turbofan,7.07,406,4007.39,Africa,373589702.69
Boeing 777,13,2011,15675,Turbofan,7.25,395,4803.38,Asia,158591793.06
Airbus A320,0,2024,6452,Turbofan,2.57,185,3731.77,Oceania,86170781.35
Airbus A350-1000,8,2016,15639,Turbofan,4.72,402,2687.5,Europe,252463614.95
Airbus A380,6,2018,14806,Turbofan,11.47,846,1367.31,South America,279209937.65
Airbus A380,7,2017,15365,Turbofan,12.81,846,1619.51,Europe,271590688.25
Cessna 172,4,2020,970,Piston,0.04,4,3721.45,Asia,348881.73
Airbus A380,8,2016,15253,Turbofan,12.77,844,1762.36,Asia,312051191.2
Cessna 172,14,2010,1475,Piston,0.04,4,2396.33,Middle East,213264.92
Airbus A320,33,1991,6242,Turbofan,2.73,181,3493.58,Asia,18762915.29
Boeing 737,7,2017,6918,Turbofan,2.96,217,3850.34,North America,65668626.01
Boeing 737,1,2023,6849,Turbofan,2.88,214,4205.23,Europe,112107850.59
Boeing 777,2,2022,15548,Turbofan,6.61,392,2700.6,North America,267397527.93
Boeing 777,15,2009,15746,Turbofan,6.97,406,4698.27,North America,170873858.89
Boeing 737,8,2016,6595,Turbofan,2.75,202,3197.11,Europe,78223045.02
Boeing 737,30,1994,6306,Turbofan,2.91,216,3852.46,Africa,17901479.67
Airbus A320,31,1993,6214,Turbofan,2.51,187,3971.47,Europe,21718063.2
Cessna 172,20,2004,1125,Piston,0.04,4,4365.15,Europe,156937.24
Airbus A380,11,2013,14890,Turbofan,11.87,860,4493.91,Asia,258419312.73
Airbus A380,19,2005,15690,Turbofan,11.29,842,1242.9,Africa,135222071.49
Boeing 737,16,2008,6878,Turbofan,2.73,209,4079.33,Africa,43529865.84
Boeing 737,10,2014,6363,Turbofan,2.46,214,540.12,North America,49582467.48
Cessna 172,1,2023,1677,Piston,0.04,4,2651.57,Asia,313212.21
Boeing 777,25,1999,15630,Turbofan,7.09,402,2528.12,Middle East,97823504.38
Airbus A320,10,2014,6155,Turbofan,2.57,180,1325.15,North America,51561537.32
Airbus A320,32,1992,6795,Turbofan,2.51,173,3976.73,South America,19821794.16
Cessna 172,7,2017,1089,Piston,0.04,4,1185.36,South America,255268.21
Airbus A320,26,1998,6307,Turbofan,2.58,179,2863.32,Asia,25403793.04
Airbus A350-1000,5,2019,16251,Turbofan,5.72,420,1596.51,South America,263971722.62
Airbus A320,24,2000,6525,Turbofan,2.61,178,3708.71,South America,33047359.57
Airbus A380,3,2021,14831,Turbofan,11.54,847,3381.05,Oceania,321523859.37
Airbus A380,4,2020,15239,Turbofan,11.24,855,1928.0,Middle East,317982737.05
Cessna 172,6,2018,1669,Piston,0.04,4,1400.61,Africa,286819.6
Cessna 172,8,2016,1480,Piston,0.04,4,2286.31,Europe,265913.8
Boeing 737,1,2023,6772,Turbofan,2.66,208,2055.22,Middle East,92930685.33
Boeing 777,6,2018,15246,Turbofan,6.86,397,1379.35,South America,275178879.3
Cessna 172,3,2021,1040,Piston,0.04,4,1835.71,South America,323171.22
Cessna 172,13,2011,1413,Piston,0.04,4,4041.92,Europe,180325.9
Boeing 777,27,1997,15376,Turbofan,7.32,391,2916.26,North America,102497888.52
Boeing 777,6,2018,16177,Turbofan,6.91,406,4953.58,South America,236654448.21
Airbus A380,17,2007,14785,Turbofan,12.03,852,4445.96,Middle East,179192815.93
Airbus A320,20,2004,6514,Turbofan,2.46,190,1944.1,South America,43376970.1
Boeing 737,18,2006,6441,Turbofan,2.87,216,1003.6,Asia,41138960.3
Boeing 737,13,2011,6303,Turbofan,2.56,208,3778.23,North America,57043579.68
Boeing 737,16,2008,6398,Turbofan,2.77,208,3747.44,Oceania,51648520.91
Boeing 777,3,2021,15764,Turbofan,6.56,388,781.72,Middle East,316290139.79
Airbus A380,12,2012,15140,Turbofan,12.35,844,1332.19,Asia,259540889.47
Airbus A320,33,1991,6756,Turbofan,2.64,178,3632.22,Europe,20789162.57
